Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,2,New Avengers,1,$3.99,Marvel,"129,084"
2,1,Batman,700,$4.99,DC,"104,755"
3,3,Avengers,2,$3.99,Marvel,"98,788"
4,4,Batman Return of Bruce Wayne,3,$3.99,DC,"92,140"
5,9,Green Lantern,55,$2.99,DC,"85,930"
6,10,Brightest Day,3,$2.99,DC,"85,815"
7,12,Brightest Day,4,$2.99,DC,"81,384"
8,6,Secret Avengers,2,$3.99,Marvel,"77,933"
9,15,Uncanny X-Men,525,$2.99,Marvel,"76,068"
10,8,Avengers Prime,1,$3.99,Marvel,"69,433"
11,21,Flash,3,$2.99,DC,"68,804"
12,5,Superman,700,$4.99,DC,"67,571"
13,22,Green Lantern Corps,49,$2.99,DC,"66,652"
14,26,X-Men Legacy,237,$2.99,Marvel,"65,578"
15,11,Justice League of America,46,$3.99,DC,"62,754"
16,14,Amazing Spider-Man,634,$3.99,Marvel,"61,736"
17,30,Amazing Spider-Man,633,$2.99,Marvel,"57,670"
18,18,Captain America,606,$3.99,Marvel,"57,443"
19,32,Astonishing X-Men,34,$2.99,Marvel,"57,363"
20,16,Thor,611,$3.99,Marvel,"56,443"
21,17,Amazing Spider-Man,635,$3.99,Marvel,"56,146"
22,19,Green Arrow,1,$3.99,DC,"54,400"
23,38,New Mutants,14,$2.99,Marvel,"53,926"
24,7,Wonder Woman,600,$4.99,DC,"53,525"
25,20,Captain America,607,$3.99,Marvel,"52,989"
26,37,Invincible Iron Man,27,$2.99,Marvel,"52,268"
27,39,Nemesis,2,$2.99,Marvel,"51,586"
28,23,Ultimate Comics Avengers 2,3,$3.99,Marvel,"50,797"
29,13,Hulk,23,$4.99,Marvel,"50,724"
30,25,Ultimate Comics Avengers 2,4,$3.99,Marvel,"49,606"
31,28,Incredible Hulk,610,$3.99,Marvel,"46,461"
32,27,Detective Comics,866,$3.99,DC,"46,178"
33,33,Avengers Academy,1,$3.99,Marvel,"45,890"
34,29,Astonishing X-Men Xenogenesis,2,$3.99,Marvel,"44,953"
35,31,Ultimate Comics X,3,$3.99,Marvel,"44,568"
36,43,Birds of Prey,2,$2.99,DC,"44,064"
37,45,Justice League Generation Lost,3,$2.99,DC,"43,278"
38,48,Dark Wolverine,87,$2.99,Marvel,"43,087"
39,46,Justice League Generation Lost,4,$2.99,DC,"41,702"
40,50,X-Factor,206,$2.99,Marvel,"40,981"
41,24,Invincible Iron Man Annual,1,$4.99,Marvel,"39,877"
42,36,Ultimate Comics Spider-Man,11,$3.99,Marvel,"39,149"
43,35,Legion of Super Heroes,2,$3.99,DC,"39,102"
44,54,Deadpool,24,$2.99,Marvel,"38,663"
45,56,Shield,2,$2.99,Marvel,"37,595"
46,55,Justice Society of America,39,$2.99,DC,"36,630"
47,59,Fantastic Four,580,$2.99,Marvel,"36,582"
48,57,Justice Society of America,40,$2.99,DC,"36,008"
49,58,Red Robin,13,$2.99,DC,"35,917"
50,47,Serenity Float Out One Shot,0,$3.50,Dark Horse,"35,266"
51,60,Batman Beyond,1,$2.99,DC,"35,113"
52,40,Action Comics,890,$3.99,DC,"34,744"
53,67,Daredevil,507,$2.99,Marvel,"34,744"
54,65,Wolverine Origins,49,$2.99,Marvel,"34,695"
55,41,Adventure Comics,12,$3.99,DC,"34,663"
56,42,Thanos Imperative,1,$3.99,Marvel,"34,285"
57,66,Red Hood Lost Days,1,$2.99,DC,"34,197"
58,44,X-Men Hellbound,2,$3.99,Marvel,"33,691"
59,34,Superman Batman Annual,4,$4.99,DC,"33,240"
60,70,Titans,24,$2.99,DC,"33,079"
61,76,Thunderbolts,145,$2.99,Marvel,"31,999"
62,75,Superman Batman,73,$2.99,DC,"31,425"
63,49,Justice League The Rise of Arsenal,4,$3.99,DC,"30,753"
64,80,Deadpool Merc With A Mouth,12,$2.99,Marvel,"30,572"
65,53,Wolverine Weapon X,14,$3.99,Marvel,"30,035"
66,79,Zatanna,2,$2.99,DC,"29,564"
67,52,Deadpool Wade Wilsons War,1,$3.99,Marvel,"29,406"
68,51,DC Universe Legacies,2,$3.99,DC,"29,286"
69,81,Jokers Asylum Harley Quinn,1,$2.99,DC,"29,081"
70,83,Batgirl,11,$2.99,DC,"28,563"
