Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
1,2,Dark Knights Rising The Wild Hunt,1,$4.99,02/14/18,DC,"101,373"
2,3,X-Men Red,1,$4.99,02/07/18,Marvel,"98,468"
3,6,Batman,40,$2.99,02/07/18,DC,"95,541"
4,7,Batman,41,$2.99,02/21/18,DC,"93,889"
5,4,Walking Dead,176,$3.99,02/07/18,Image,"77,407"
6,5,Batman White Knight,5,$3.99,02/07/18,DC,"77,373"
7,1,Peter Parker Spectacular Spider-Man,300,$5.99,02/28/18,Marvel,"77,094"
8,11,Star Wars,43,$3.99,02/07/18,Marvel,"56,045"
9,8,Infinity Countdown Prime,1,$4.99,02/21/18,Marvel,"55,260"
10,12,Amazing Spider-Man,796,$3.99,02/21/18,Marvel,"55,138"
11,14,Star Wars Darth Vader,11,$3.99,02/14/18,Marvel,"53,275"
12,15,Amazing Spider-Man,795,$3.99,02/07/18,Marvel,"52,844"
13,9,Star Wars Thrawn,1,$4.99,02/14/18,Marvel,"52,295"
14,16,Detective Comics,975,$3.99,02/28/18,DC,"51,856"
15,29,Detective Comics,974,$2.99,02/14/18,DC,"51,189"
16,17,Kick-Ass,1,$3.99,02/14/18,Image,"50,030"
17,19,Star Wars Darth Vader,12,$3.99,02/28/18,Marvel,"49,134"
18,38,Flash,40,$2.99,02/14/18,DC,"46,149"
19,40,Flash,41,$2.99,02/28/18,DC,"46,040"
20,65,Terrifics,1,$2.99,02/28/18,DC,"45,493"
21,42,Justice League,38,$2.99,02/07/18,DC,"45,314"
22,44,Justice League,39,$2.99,02/21/18,DC,"44,148"
23,13,Amazing Spider-Man Annual,42,$4.99,02/14/18,Marvel,"43,935"
24,46,Action Comics,998,$2.99,02/28/18,DC,"43,810"
25,45,Superman,40,$2.99,02/07/18,DC,"43,776"
26,48,Action Comics,997,$2.99,02/14/18,DC,"43,509"
27,50,Superman,41,$2.99,02/21/18,DC,"42,694"
28,22,Brave & The Bold Batman & Wonder Woman,1,$3.99,02/21/18,DC,"42,087"
29,18,Doctor Strange Damnation,1,$4.99,02/21/18,Marvel,"41,564"
30,23,Mighty Thor,704,$3.99,02/21/18,Marvel,"41,533"
31,20,Hit-Girl,1,$3.99,02/21/18,Image,"39,709"
32,25,Avengers,682,$3.99,02/28/18,Marvel,"39,486"
33,24,X-Men Gold,21,$3.99,02/07/18,Marvel,"39,379"
34,26,Avengers,681,$3.99,02/21/18,Marvel,"39,345"
35,28,Avengers,679,$3.99,02/07/18,Marvel,"39,046"
36,33,X-Men Blue,21,$3.99,02/14/18,Marvel,"39,030"
37,63,Saga,49,$2.99,02/28/18,Image,"38,734"
38,30,Avengers,680,$3.99,02/14/18,Marvel,"38,437"
39,21,Infinity Countdown Adam Warlock,1,$4.99,02/07/18,Marvel,"38,295"
40,31,Batman and the Signal,2,$3.99,02/21/18,DC,"37,758"
41,32,Old Man Logan,35,$3.99,02/14/18,Marvel,"37,227"
42,67,Wonder Woman,40,$2.99,02/14/18,DC,"36,464"
43,36,Captain America,698,$3.99,02/14/18,Marvel,"36,297"
44,59,Marvel Two-In-One,3,$3.99,02/14/18,Marvel,"35,890"
45,34,Mera Queen of Atlantis,1,$3.99,02/28/18,DC,"35,701"
46,70,Wonder Woman,41,$2.99,02/28/18,DC,"35,572"
47,37,X-Men Gold,22,$3.99,02/21/18,Marvel,"35,420"
48,89,Sideways,1,$2.99,02/14/18,DC,"35,086"
49,39,X-Men Blue,22,$3.99,02/28/18,Marvel,"35,062"
50,35,Venom,162,$3.99,02/21/18,Marvel,"34,211"
51,51,Old Man Hawkeye,2,$3.99,02/14/18,Marvel,"33,365"
52,81,Batman Sins of the Father,1,$2.99,02/21/18,DC,"32,487"
53,49,Batman Teenage Mutant Ninja Turtles II,4,$3.99,02/21/18,DC,"32,128"
54,41,Venom,161,$3.99,02/07/18,Marvel,"31,864"
55,53,Astonishing X-Men,8,$3.99,02/21/18,Marvel,"31,786"
56,52,Supergirl,18,$3.99,02/14/18,DC,"31,675"
57,86,Harley Quinn,37,$2.99,02/07/18,DC,"31,619"
58,88,Harley Quinn,38,$2.99,02/21/18,DC,"31,314"
59,54,Titans,20,$3.99,02/14/18,DC,"30,696"
60,55,Star Wars Doctor Aphra,17,$3.99,02/21/18,Marvel,"30,398"
61,56,Invincible Iron Man,597,$3.99,02/28/18,Marvel,"30,242"
62,57,All New Wolverine,31,$3.99,02/28/18,Marvel,"30,055"
63,60,Thanos,16,$3.99,02/28/18,Marvel,"29,806"
64,10,Swamp Thing Winter Special,1,$7.99,02/07/18,DC,"29,727"
65,58,Super Sons,13,$3.99,02/21/18,DC,"29,625"
66,61,Despicable Deadpool,294,$3.99,02/14/18,Marvel,"29,521"
