Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
1,1,Action Comics,1000,$7.99,04/18/18,DC,"449,787"
2,2,Amazing Spider-Man,798,$3.99,04/04/18,Marvel,"233,235"
3,4,Amazing Spider-Man,799,$3.99,04/18/18,Marvel,"192,609"
4,3,Hunt For Wolverine,1,$5.99,04/25/18,Marvel,"138,584"
5,8,Batman,44,$2.99,04/04/18,DC,"125,849"
6,5,Venomized,1,$4.99,04/04/18,Marvel,"103,720"
7,12,Batman,45,$2.99,04/18/18,DC,"96,448"
8,7,Domino,1,$3.99,04/11/18,Marvel,"89,107"
9,6,Captain America,700,$5.99,04/11/18,Marvel,"77,776"
10,10,Walking Dead,178,$3.99,04/04/18,Image,"73,978"
11,11,Batman White Knight,7,$3.99,04/04/18,DC,"73,194"
12,9,Infinity Countdown,2,$4.99,04/18/18,Marvel,"67,963"
13,14,Avengers,687,$3.99,04/04/18,Marvel,"59,623"
14,13,Star Wars,46,$3.99,04/04/18,Marvel,"59,335"
15,17,Mighty Thor,706,$3.99,04/25/18,Marvel,"56,632"
16,15,X-Men Red,3,$3.99,04/11/18,Marvel,"56,531"
17,19,Avengers,690,$3.99,04/25/18,Marvel,"52,027"
18,21,Thanos,18,$3.99,04/11/18,Marvel,"51,259"
19,20,Star Wars Darth Vader,14,$3.99,04/11/18,Marvel,"51,093"
20,32,Detective Comics,978,$2.99,04/11/18,DC,"51,083"
21,34,Detective Comics,979,$2.99,04/25/18,DC,"50,049"
22,59,Immortal Men,1,$2.99,04/11/18,DC,"48,567"
23,24,Avengers,688,$3.99,04/11/18,Marvel,"47,988"
24,23,Star Wars Darth Vader,15,$3.99,04/25/18,Marvel,"47,956"
25,37,Spawn,284,$2.99,04/04/18,Image,"46,823"
26,16,Avengers,689,$4.99,04/18/18,Marvel,"46,698"
27,39,Flash,44,$2.99,04/11/18,DC,"45,626"
28,40,Flash,45,$2.99,04/25/18,DC,"45,402"
